date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:50:40	1073/1073	---M--	200	added ('OK')	image/png	etag:%22431-53433a4b735c0%22	http://max-agency.com/.data/services/mainmenu/hover/a155a6c31675fc474137c86a72b448381514.png	D:/studiolabs/max-agency.com/.data/services/mainmenu/hover/a155a6c31675fc474137c86a72b448381514.png	(from http://max-agency.com/)
12:50:42	32651/32651	---MC-	200	added ('OK')	text/html	date:Thu,%2009%20Jan%202020%2007:23:57%20GMT	http://max-agency.com/tehprod	D:/studiolabs/max-agency.com/tehprod.html	(from http://max-agency.com/)
12:50:43	1037/1037	---M--	200	added ('OK')	image/png	etag:%2240d-53433a4a7f380%22	http://max-agency.com/.data/services/mainmenu/82cce94a2ad6b1f3a9e50c9dc432bfd02887.png	D:/studiolabs/max-agency.com/.data/services/mainmenu/82cce94a2ad6b1f3a9e50c9dc432bfd02887.png	(from http://max-agency.com/)
12:50:44	1057/1057	---M--	200	added ('OK')	image/png	etag:%22421-53433a4b735c0%22	http://max-agency.com/.data/services/mainmenu/hover/154b80b2e55f3e52f110b60057dd23334658.png	D:/studiolabs/max-agency.com/.data/services/mainmenu/hover/154b80b2e55f3e52f110b60057dd23334658.png	(from http://max-agency.com/)
12:50:45	31831/31831	---MC-	200	added ('OK')	text/html	date:Thu,%2009%20Jan%202020%2007:24:00%20GMT	http://max-agency.com/workshops	D:/studiolabs/max-agency.com/workshops.html	(from http://max-agency.com/)
12:50:46	975/975	---M--	200	added ('OK')	image/png	etag:%223cf-53433a4b735c0%22	http://max-agency.com/.data/services/mainmenu/a500b20505a2f10cb1932e697dda62544975.png	D:/studiolabs/max-agency.com/.data/services/mainmenu/a500b20505a2f10cb1932e697dda62544975.png	(from http://max-agency.com/)
12:50:47	963/963	---M--	200	added ('OK')	image/png	etag:%223c3-53433a4b735c0%22	http://max-agency.com/.data/services/mainmenu/hover/e8018d2d1e54cca6197f5924f7036ce54129.png	D:/studiolabs/max-agency.com/.data/services/mainmenu/hover/e8018d2d1e54cca6197f5924f7036ce54129.png	(from http://max-agency.com/)
12:50:49	39593/39593	---MC-	200	added ('OK')	text/html	date:Thu,%2009%20Jan%202020%2007:24:04%20GMT	http://max-agency.com/portfolio	D:/studiolabs/max-agency.com/portfolio.html	(from http://max-agency.com/)
12:50:52	46559/46559	---MC-	200	added ('OK')	text/html	date:Thu,%2009%20Jan%202020%2007:24:06%20GMT	http://max-agency.com/about	D:/studiolabs/max-agency.com/about.html	(from http://max-agency.com/)
12:50:54	35695/35695	---MC-	200	added ('OK')	text/html	date:Thu,%2009%20Jan%202020%2007:24:09%20GMT	http://max-agency.com/news	D:/studiolabs/max-agency.com/news.html	(from http://max-agency.com/)
